"sep=,"
FrameID,MessageSentTimeLocalMachine1,MessageSentTimeVM1,MessageSentTimeVM2,MessageSentTimeLocalMachine2,MessageSendRate,LatencyEndToEnd
1515,1750947102816,1750947102816,0,1750947102816,10,0
1516,1750947102826,1750947102826,0,1750947102826,10,0
1517,1750947102836,1750947102836,0,1750947102836,10,0
1518,1750947102846,1750947102846,0,1750947102846,10,0
1519,1750947102856,1750947102856,0,1750947102856,10,0
1520,1750947102865,1750947102866,0,1750947102866,9,1
1521,1750947102876,1750947102876,0,1750947102876,10,0
1522,1750947102886,1750947102886,0,1750947102887,10,1
1523,1750947102896,1750947102896,0,1750947102896,10,0
1524,1750947102906,1750947102906,0,1750947102906,10,0
1525,1750947102915,1750947102916,0,1750947102916,9,1
1526,1750947102926,1750947102926,0,1750947102926,10,0
1527,1750947102936,1750947102936,0,1750947102936,10,0
1528,1750947102946,1750947102946,0,1750947102946,10,0
1529,1750947102956,1750947102956,0,1750947102956,10,0
1530,1750947102966,1750947102966,0,1750947102966,10,0
1531,1750947102976,1750947102976,0,1750947102976,10,0
1532,1750947102986,1750947102986,0,1750947102986,10,0
1533,1750947102995,1750947102995,0,1750947102995,9,0
1534,1750947103006,1750947103006,0,1750947103006,11,0
1535,1750947103016,1750947103016,0,1750947103016,10,0
1536,1750947103025,1750947103026,0,1750947103026,9,1
1537,1750947103036,1750947103036,0,1750947103036,10,0
1538,1750947103046,1750947103046,0,1750947103046,10,0
1539,1750947103055,1750947103056,0,1750947103056,9,1
1540,1750947103066,1750947103066,0,1750947103066,11,0
1541,1750947103075,1750947103076,0,1750947103076,9,1
1542,1750947103086,1750947103086,0,1750947103086,11,0
1543,1750947103095,1750947103096,0,1750947103096,9,1
1544,1750947103106,1750947103106,0,1750947103106,11,0
1545,1750947103116,1750947103116,0,1750947103116,10,0
1546,1750947103126,1750947103126,0,1750947103127,10,1
1547,1750947103136,1750947103136,0,1750947103136,10,0
1548,1750947103146,1750947103146,0,1750947103146,10,0
1549,1750947103155,1750947103155,0,1750947103156,9,1
1550,1750947103166,1750947103166,0,1750947103166,11,0
1551,1750947103176,1750947103176,0,1750947103176,10,0
1552,1750947103186,1750947103186,0,1750947103186,10,0
1553,1750947103196,1750947103196,0,1750947103196,10,0
1554,1750947103205,1750947103206,0,1750947103206,9,1
1555,1750947103216,1750947103216,0,1750947103216,10,0
1556,1750947103225,1750947103226,0,1750947103226,9,1
1557,1750947103235,1750947103236,0,1750947103236,9,1
1558,1750947103246,1750947103246,0,1750947103246,10,0
1559,1750947103255,1750947103255,0,1750947103256,9,1
1560,1750947103266,1750947103266,0,1750947103266,11,0
1561,1750947103276,1750947103276,0,1750947103276,10,0
1562,1750947103285,1750947103286,0,1750947103286,9,1
1563,1750947103296,1750947103296,0,1750947103296,10,0
1564,1750947103305,1750947103305,0,1750947103306,9,1
1565,1750947103316,1750947103316,0,1750947103316,11,0
1566,1750947103326,1750947103326,0,1750947103326,10,0
1567,1750947103335,1750947103335,0,1750947103335,9,0
1568,1750947103346,1750947103346,0,1750947103346,11,0
1569,1750947103356,1750947103356,0,1750947103356,10,0
1570,1750947103365,1750947103366,0,1750947103366,9,1
1571,1750947103376,1750947103376,0,1750947103376,11,0
1572,1750947103386,1750947103386,0,1750947103387,10,1
1573,1750947103396,1750947103396,0,1750947103396,10,0
1574,1750947103406,1750947103406,0,1750947103406,10,0
1575,1750947103416,1750947103416,0,1750947103416,10,0
1576,1750947103425,1750947103426,0,1750947103426,9,1
1577,1750947103436,1750947103436,0,1750947103436,10,0
1578,1750947103446,1750947103446,0,1750947103447,10,1
1579,1750947103455,1750947103456,0,1750947103456,9,1
1580,1750947103466,1750947103466,0,1750947103466,10,0
1581,1750947103476,1750947103476,0,1750947103476,10,0
1582,1750947103485,1750947103485,0,1750947103486,9,1
1583,1750947103496,1750947103496,0,1750947103496,11,0
1584,1750947103506,1750947103506,0,1750947103506,10,0
1585,1750947103515,1750947103516,0,1750947103516,9,1
1586,1750947103526,1750947103526,0,1750947103526,10,0
1587,1750947103536,1750947103536,0,1750947103536,10,0
1588,1750947103546,1750947103546,0,1750947103546,10,0
1589,1750947103556,1750947103556,0,1750947103556,10,0
1590,1750947103565,1750947103566,0,1750947103566,9,1
1591,1750947103576,1750947103576,0,1750947103576,11,0
1592,1750947103586,1750947103586,0,1750947103587,10,1
1593,1750947103595,1750947103596,0,1750947103596,9,1
1594,1750947103606,1750947103606,0,1750947103606,10,0
1595,1750947103616,1750947103616,0,1750947103616,10,0
1596,1750947103626,1750947103626,0,1750947103626,10,0
1597,1750947103636,1750947103636,0,1750947103636,10,0
1598,1750947103646,1750947103646,0,1750947103646,10,0
1599,1750947103656,1750947103656,0,1750947103656,10,0
1600,1750947103666,1750947103666,0,1750947103666,10,0
1601,1750947103676,1750947103676,0,1750947103676,10,0
1602,1750947103686,1750947103686,0,1750947103686,10,0
1603,1750947103696,1750947103696,0,1750947103696,10,0
1604,1750947103706,1750947103706,0,1750947103706,10,0
1605,1750947103716,1750947103716,0,1750947103716,10,0
1606,1750947103726,1750947103726,0,1750947103726,10,0
1607,1750947103736,1750947103736,0,1750947103736,10,0
1608,1750947103745,1750947103746,0,1750947103746,9,1
1609,1750947103756,1750947103756,0,1750947103756,10,0
1610,1750947103766,1750947103766,0,1750947103766,10,0
1611,1750947103775,1750947103775,0,1750947103775,9,0
1612,1750947103786,1750947103786,0,1750947103786,11,0
1613,1750947103796,1750947103796,0,1750947103796,10,0
1614,1750947103805,1750947103805,0,1750947103806,9,1
1615,1750947103816,1750947103816,0,1750947103816,11,0
1616,1750947103826,1750947103826,0,1750947103826,10,0
1617,1750947103835,1750947103835,0,1750947103836,9,1
1618,1750947103846,1750947103846,0,1750947103846,11,0
1619,1750947103856,1750947103856,0,1750947103856,10,0
1620,1750947103865,1750947103866,0,1750947103866,9,1
1621,1750947103876,1750947103876,0,1750947103876,10,0
1622,1750947103885,1750947103886,0,1750947103886,9,1
1623,1750947103896,1750947103896,0,1750947103896,10,0
1624,1750947103906,1750947103906,0,1750947103906,10,0
1625,1750947103916,1750947103916,0,1750947103916,10,0
1626,1750947103925,1750947103925,0,1750947103925,9,0
1627,1750947103936,1750947103936,0,1750947103936,11,0
1628,1750947103946,1750947103946,0,1750947103946,10,0
1629,1750947103955,1750947103956,0,1750947103956,9,1
1630,1750947103966,1750947103966,0,1750947103966,11,0
1631,1750947103976,1750947103976,0,1750947103976,10,0
1632,1750947103985,1750947103986,0,1750947103986,9,1
1633,1750947103996,1750947103996,0,1750947103996,11,0
1634,1750947104005,1750947104006,0,1750947104006,9,1
1635,1750947104016,1750947104016,0,1750947104016,11,0
1636,1750947104025,1750947104025,0,1750947104025,9,0
1637,1750947104036,1750947104036,0,1750947104036,11,0
1638,1750947104046,1750947104046,0,1750947104046,10,0
1639,1750947104056,1750947104056,0,1750947104056,10,0
1640,1750947104065,1750947104066,0,1750947104066,9,1
1641,1750947104076,1750947104076,0,1750947104076,10,0
1642,1750947104086,1750947104086,0,1750947104086,10,0
1643,1750947104095,1750947104095,0,1750947104096,9,1
1644,1750947104106,1750947104106,0,1750947104106,11,0
